"Reference","Value","Footprint","QUANTITY"
"C1,C2,C13","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3"
"C3-C5,C8,C9,C11","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6"
"C10","4u7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C12","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"D1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"D3,D4","PMEG2010","Diode_SMD:D_SOD-323","2"
"J1","RPi GPIO","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1"
"J2","AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1"
"J4","USB-C","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1"
"JP1","RXD  HAT|USB","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"JP2","RESET  HAT|USB","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"L1","BLM21PG300","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"R1","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R2,R3,R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3"
"R5,R6","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"S1","RESET","Button_Switch_SMD:SW_SPST_B3U-1000P-B","1"
"TP1","RESET","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP2","+3V3","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP3","VIN","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP4","GND","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP5","TXD","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP6","RXD","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP7","GDO0","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP8","CS","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"U1","MCP1754S-3302xCB","Package_TO_SOT_SMD:SOT-23","1"
"U2","ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","1"
"U3","E07-900MM10S","AskSin-Analyzer-HAT:E07-900MM10S","1"
"U4","CP2102N-A02-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","1"
"U5","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1"
"Y1","8MHz","Crystal:Resonator_Murata_CSTLSxxxX-3Pin_W5.5mm_H3.0mm","1"
