Comment,Designator,Footprint,Quantity,Mounting,Source
10u,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,SMD,Reichelt CL21A106KOQNNNG
100n,"C3,C4,C5,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,SMD,Reichelt KEM X7R0805 100N
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,SMD,Reichelt EVL 17-21USRC
Pi GPIO,J1,PinSocket_2x20_P2.54mm_Vertical,1,THT,Reichelt MPE 094-2-040
AVR-ISP-6,J2,PinHeader_2x03_P2.54mm_Vertical,1,THT,Reichelt ECON SL6G2
OLED I2C,J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,THT,Reichelt JST PH4P ST
Taster,J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,THT,Reichelt JST PH2P ST
WS2812,J7,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,THT,Reichelt JST PH3P ST
BLM21PG300,L1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,SMD,Reichelt BLM21PG300SN1D
330,"R1,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,SMD,Reichelt WAL WR08X3300FTL
10k,"R2,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,SMD,Reichelt WAL WR08X1002FTL
RESET,S1,SW_SPST_B3U-1000P-B,1,SMD,JLCPCB C231329 (B3U-1000P)
MCP1754S-3302xCB,U1,SOT-23,1,SMD,Reichelt MCP 1754-3302CB
ATmega328P-AU,U2,TQFP-32_7x7mm_P0.8mm,1,SMD,Reichelt ATMEGA 328P-AU
E07-900M10S,U3,E07-900M10S,1,SMD,Ebyte E07-900M10S — nicht bei Reichelt
8MHz,Y1,Resonator_Murata_CSTLSxxxX-3Pin_W5.5mm_H3.0mm,1,THT,JLCPCB C83707 (CSTLS8M00G53-B0)
390 (DNP),R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0,DNP,nicht bestücken (PWM-Alternative zu R5)
