Designator,Mid X,Mid Y,Layer,Rotation
C1,45.0mm,72.0mm,top,0.0
C2,55.0mm,72.0mm,top,0.0
C3,22.0mm,67.0mm,top,0.0
C4,22.0mm,63.0mm,top,0.0
C5,28.0mm,52.0mm,top,90.0
C8,28.0mm,63.0mm,top,0.0
C9,29.5mm,72.0mm,top,0.0
D1,45.0mm,65.0mm,top,0.0
J1,40.37mm,51.23mm,bottom,270.0
J2,25.0mm,20.0mm,top,0.0
J5,86.5mm,72.5mm,top,0.0
J6,88.0mm,66.0mm,top,0.0
J7,87.0mm,60.0mm,top,0.0
L1,50.0mm,72.0mm,top,0.0
R1,40.0mm,65.0mm,top,0.0
R2,28.0mm,67.0mm,top,0.0
R3,28.0mm,47.0mm,top,90.0
S1,52.0mm,65.0mm,top,0.0
SW1,64.0mm,71.0mm,top,180.0
U1,40.0mm,72.0mm,top,0.0
U2,12.0mm,66.0mm,top,0.0
U3,16.0mm,43.0mm,top,0.0
Y1,20.0mm,72.0mm,top,0.0
