Comment,Designator,Footprint,JLCPCB Part #
CL21A106KAYNNNE 10uF 25V X5R,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
CC0805KRX7R9BB104 100nF 50V X7R,"C3,C4,C5,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
FC-2012HRK-620D rot,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
BLM21PG300SN1D,L1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C16903
330R 1% 0805,"R1,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630
10K 1% 0805,"R2,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
B3U-1000P,S1,SW_SPST_B3U-1000P-B,C231329
XC6206P332MR-G,U1,SOT-23,C5446
ATMEGA328P-AU,U2,TQFP-32_7x7mm_P0.8mm,C14877
CSTLS8M00G53-B0 8MHz,Y1,Resonator_Murata_CSTLSxxxX-3Pin_W5.5mm_H3.0mm,C83707
