Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Pi GPIO","PinSocket_2x20_P2.54mm_Vertical",128.370000,-98.770000,-90.000000,bottom
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.500000,-65.500000,90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.500000,-65.500000,90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.500000,-83.500000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.000000,-74.500000,90.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.800000,-69.000000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.000000,-67.000000,0.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.000000,-83.500000,90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-71.000000,0.000000,top
"J2","AVR-ISP-6","PinHeader_2x03_P2.54mm_Vertical",150.000000,-78.000000,0.000000,top
"J5","OLED I2C","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",177.500000,-69.500000,90.000000,top
"J6","Taster","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",177.500000,-79.000000,90.000000,top
"J7","WS2812","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",177.500000,-88.500000,90.000000,top
"L1","BLM21PG300","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.000000,-65.000000,0.000000,top
"R1","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.000000,-71.000000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.000000,-69.000000,90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.500000,-88.500000,0.000000,top
"R4","390 DNP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.000000,-88.500000,0.000000,top
"R5","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.000000,-84.500000,0.000000,top
"S1","RESET","SW_SPST_B3U-1000P-B",157.000000,-84.000000,0.000000,top
"U1","MCP1754S-3302xCB","SOT-23",156.000000,-65.000000,0.000000,top
"U2","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",136.000000,-79.000000,0.000000,top
"U3","E07-900M10S","E07-900M10S",111.000000,-74.500000,0.000000,top
"Y1","8MHz","Resonator_Murata_CSTLSxxxX-3Pin_W5.5mm_H3.0mm",127.000000,-75.000000,90.000000,top
