"Reference","Value","Footprint","QUANTITY"
"C1,C2","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"C3-C5,C8,C9","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5"
"D1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"J1","Pi GPIO","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1"
"J2","AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1"
"J5","OLED I2C","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1"
"J6","Taster","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1"
"J7","WS2812","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","1"
"L1","BLM21PG300","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"R1","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R2,R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R4","390","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R5","0R DNP","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"S1","RESET","Button_Switch_SMD:SW_SPST_B3U-1000P-B","1"
"TP1","RESET","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP2","+3V3","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP3","+5V","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP4","GND","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP5","TXD","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP6","RXD","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP7","GDO0","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"TP8","CS","TestPoint:TestPoint_Pad_1.0x1.0mm","1"
"U1","MCP1754S-3302xCB","Package_TO_SOT_SMD:SOT-23","1"
"U2","ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","1"
"U3","E07-900M10S","AskSin-Analyzer-HAT:E07-900M10S","1"
"Y1","8MHz","Crystal:Resonator_Murata_CSTLSxxxX-3Pin_W5.5mm_H3.0mm","1"
